status,name,slug,expectedFileName,dropFolder,expectedFilePath,expectedExists,webpHeaderOk,fileSizeBytes,checklistComplete,checklistEvidenceReady,checklistMissingFields,checklistInvalidFields,readyForHumanReview,readyForCopyAfterMouss,blockers
"HOLD_MISSING_WEBP","Mini humidificateur USB bureau","mini-humidificateur-usb-bureau-partenaire-hold","mini-humidificateur-usb-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/depot-manuel/mini-humidificateur-usb-bureau-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Mini pompe air USB voyage","mini-pompe-air-usb-voyage-partenaire-hold","mini-pompe-air-usb-voyage-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/mini-pompe-air-usb-voyage-partenaire-hold/depot-manuel/mini-pompe-air-usb-voyage-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","cable-usb-c-240w-renforce-best-seller.webp","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel/cable-usb-c-240w-renforce-best-seller.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","lampe-velo-usb-rechargeable-affichage-batterie.webp","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel/lampe-velo-usb-rechargeable-affichage-batterie.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","support-pc-portable-pliant-aluminium-ajustable.webp","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel/support-pc-portable-pliant-aluminium-ajustable.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","attaches-cables-velcro-lot-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel/attaches-cables-velcro-lot-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Bandeau skincare microfibre","bandeau-skincare-microfibre-partenaire-hold","bandeau-skincare-microfibre-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/bandeau-skincare-microfibre-partenaire-hold/depot-manuel/bandeau-skincare-microfibre-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Boite rangement cables bureau","boite-rangement-cables-bureau-partenaire-hold","boite-rangement-cables-bureau-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/boite-rangement-cables-bureau-partenaire-hold/depot-manuel/boite-rangement-cables-bureau-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Brosse chaussures nettoyage 3 en 1","brosse-chaussures-nettoyage-3-en-1-partenaire-hold","brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-chaussures-nettoyage-3-en-1-partenaire-hold/depot-manuel/brosse-chaussures-nettoyage-3-en-1-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Brosse nettoyage joints cuisine","brosse-nettoyage-joints-cuisine-partenaire-hold","brosse-nettoyage-joints-cuisine-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/brosse-nettoyage-joints-cuisine-partenaire-hold/depot-manuel/brosse-nettoyage-joints-cuisine-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
"HOLD_MISSING_WEBP","Diffuseur voiture clip ventilation","diffuseur-voiture-clip-ventilation-partenaire-hold","diffuseur-voiture-clip-ventilation-partenaire-hold.webp","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel","business-maxi-trouvailles/preuves-images-publiques/diffuseur-voiture-clip-ventilation-partenaire-hold/depot-manuel/diffuseur-voiture-clip-ventilation-partenaire-hold.webp","false","false","0","false","false","","Source image exacte | Droits image | Meme article exact confirme | Variante exacte confirmee | Validation Mouss | Decision copie publique","false","false","expected_webp_missing"
